thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,settings.started,settings.stopped,colour,global_onset_time,target,button_pressed,nback_response,nback_RT,RT,text_nr,trial_nr,block_nr_exp,block_name,n-back_level,word,nontarget_triggers_sent_this_condition,target_triggers_sent_this_condition,total_triggers_sent_this_condition,minimum_triggers_this_condition,maximum_triggers_this_block,trigger_time,participant,session,TMS_port,testing_mode,skip_reading,date,expName,psychopyVersion,expStart,
0,0,0,0,0,0,0,,,,,#D292F3,30.06736421585083,None,space,None,None,679.9740791320801,text_13,27,1,Reading_Baseline_main_click,None,durfte,5,0,5,60,60,30.12053942680359,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#2AB7EF,30.787415504455566,None,space,None,None,616.0750389099121,text_13,28,1,Reading_Baseline_main_click,None,sie,5,0,5,60,60,,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#D292F3,31.443827152252197,None,space,None,None,679.6607971191406,text_13,29,1,Reading_Baseline_main_click,None,für,5,0,5,60,60,,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#2AB7EF,32.163878202438354,None,space,None,None,727.4496555328369,text_13,30,1,Reading_Baseline_main_click,None,Schindlers,5,0,5,60,60,,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#2AB7EF,32.93183135986328,None,space,None,None,551.5651702880859,text_13,31,1,Reading_Baseline_main_click,None,Liste,5,0,5,60,60,,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#F989A2,33.5224814414978,None,space,None,None,888.967752456665,text_13,32,1,Reading_Baseline_main_click,None,"vorsprechen,",5,0,5,60,60,,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#88BA3F,34.45246744155884,None,space,None,None,726.994514465332,text_13,33,1,Reading_Baseline_main_click,None,bekam,6,0,6,60,60,35.12053632736206,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#D292F3,35.21847724914551,None,space,None,None,633.0184936523438,text_13,34,1,Reading_Baseline_main_click,None,aber,6,0,6,60,60,,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#88BA3F,35.89106273651123,None,space,None,None,648.4081745147705,text_13,35,1,Reading_Baseline_main_click,None,die,6,0,6,60,60,,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#F989A2,36.58189821243286,None,space,None,None,629.5912265777588,text_13,36,1,Reading_Baseline_main_click,None,Rolle,6,0,6,60,60,,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#2AB7EF,37.25239062309265,None,space,None,None,598.839282989502,text_13,37,1,Reading_Baseline_main_click,None,"nicht,",6,0,6,60,60,,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#2AB7EF,37.88988995552063,None,space,None,None,649.3563652038574,text_13,38,1,Reading_Baseline_main_click,None,weil,6,0,6,60,60,,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#D292F3,38.581287145614624,None,space,None,None,725.9716987609863,text_13,39,1,Reading_Baseline_main_click,None,sie,6,0,6,60,60,,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#88BA3F,39.3441424369812,None,space,None,None,891.1421298980713,text_13,40,1,Reading_Baseline_main_click,None,laut,7,0,7,60,60,40.12054634094238,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#88BA3F,40.275808334350586,None,space,None,None,807.7239990234375,text_13,41,1,Reading_Baseline_main_click,None,Spielberg,7,0,7,60,60,,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#F989A2,41.123324394226074,None,space,None,None,760.2090835571289,text_13,42,1,Reading_Baseline_main_click,None,""nicht,7,0,7,60,60,,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#F989A2,41.924559593200684,None,space,None,None,742.9275512695312,text_13,43,1,Reading_Baseline_main_click,None,jüdisch,7,0,7,60,60,,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#88BA3F,42.70739817619324,None,space,None,None,743.995189666748,text_13,44,1,Reading_Baseline_main_click,None,genug"",7,0,7,60,60,,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#2AB7EF,43.48983359336853,None,space,None,None,713.5651111602783,text_13,45,1,Reading_Baseline_main_click,None,war.,7,0,7,60,60,,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#D292F3,44.243732929229736,None,space,None,None,727.7016639709473,text_13,46,1,Reading_Baseline_main_click,None,Heute,7,0,7,60,60,,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#D292F3,45.01180624961853,None,space,None,None,631.6361427307129,text_13,47,1,Reading_Baseline_main_click,None,lebt,8,0,8,60,60,45.12069892883301,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#F989A2,45.68187642097473,None,space,None,None,681.4744472503662,text_13,48,1,Reading_Baseline_main_click,None,sie,8,0,8,60,60,,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#F989A2,46.40412497520447,None,space,None,None,631.2739849090576,text_13,49,1,Reading_Baseline_main_click,None,zwar,8,0,8,60,60,,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#2AB7EF,47.07491850852966,None,space,None,None,584.5091342926025,text_13,50,1,Reading_Baseline_main_click,None,in,8,0,8,60,60,,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#88BA3F,47.70019841194153,None,space,None,None,679.2018413543701,text_13,51,1,Reading_Baseline_main_click,None,"Hollywood,",8,0,8,60,60,,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#D292F3,48.419387340545654,None,space,None,None,999.882698059082,text_13,52,1,Reading_Baseline_main_click,None,träumt,8,0,8,60,60,,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#F989A2,49.45907998085022,None,space,None,None,440.2449131011963,text_13,53,1,Reading_Baseline_main_click,None,aber,8,0,8,60,60,,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#2AB7EF,49.93887972831726,None,space,None,None,760.6213092803955,text_13,54,1,Reading_Baseline_main_click,None,nicht,9,0,9,60,60,50.12055444717407,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#D292F3,50.73764085769653,None,space,None,None,649.8081684112549,text_13,55,1,Reading_Baseline_main_click,None,mehr,9,0,9,60,60,,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#2AB7EF,51.42803454399109,None,space,None,None,663.489580154419,text_13,56,1,Reading_Baseline_main_click,None,vom,9,0,9,60,60,,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#D292F3,52.133339405059814,None,space,None,None,710.0808620452881,text_13,57,1,Reading_Baseline_main_click,None,Star-Ruhm.,9,0,9,60,60,,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#F989A2,52.88339614868164,None,space,None,None,584.0663909912109,text_13,58,1,Reading_Baseline_main_click,None,Mit,9,0,9,60,60,,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#88BA3F,53.506850242614746,None,space,None,None,664.6153926849365,text_13,59,1,Reading_Baseline_main_click,None,fast,9,0,9,60,60,,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#88BA3F,54.211703300476074,None,space,None,None,903.7778377532959,text_13,60,1,Reading_Baseline_main_click,None,40,9,0,9,60,60,,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#D292F3,55.15592432022095,None,space,None,None,839.4715785980225,text_13,61,1,Reading_Baseline_main_click,None,sei,10,0,10,60,60,55.20866942405701,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#88BA3F,56.03514313697815,None,space,None,None,616.2402629852295,text_13,62,1,Reading_Baseline_main_click,None,das,10,0,10,60,60,,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#2AB7EF,56.692302227020264,None,space,None,None,871.2437152862549,text_13,63,1,Reading_Baseline_main_click,None,""unrealistisch"",10,0,10,60,60,,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#2AB7EF,57.60520267486572,None,space,None,None,774.2438316345215,text_13,64,1,Reading_Baseline_main_click,None,sagt,10,0,10,60,60,,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#88BA3F,58.4206600189209,None,space,None,None,310.7178211212158,text_13,65,1,Reading_Baseline_main_click,None,sie.,10,0,10,60,60,,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#F989A2,58.771671533584595,None,space,None,None,647.6137638092041,text_13,66,1,Reading_Baseline_main_click,None,Viele,10,0,10,60,60,,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#D292F3,59.45675206184387,None,space,None,None,490.7371997833252,text_13,67,1,Reading_Baseline_main_click,None,Schauspieler,10,0,10,60,60,,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#F989A2,59.987348318099976,None,space,None,None,504.03785705566406,text_13,68,1,Reading_Baseline_main_click,None,erleben,11,0,11,60,60,60.208640575408936,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#2AB7EF,60.52808117866516,None,space,None,None,555.4101467132568,text_13,69,1,Reading_Baseline_main_click,None,in,11,0,11,60,60,,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#88BA3F,61.12374138832092,None,space,None,None,599.6882915496826,text_13,70,1,Reading_Baseline_main_click,None,Hollywood,11,0,11,60,60,,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#F989A2,61.76542258262634,None,space,None,None,678.0188083648682,text_13,71,1,Reading_Baseline_main_click,None,Enttäuschungen.,11,0,11,60,60,,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#D292F3,62.484466791152954,None,space,None,None,742.9795265197754,text_13,72,1,Reading_Baseline_main_click,None,Männer,11,0,11,60,60,,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#D292F3,63.26835513114929,None,space,None,None,919.090747833252,text_13,73,1,Reading_Baseline_main_click,None,geben,11,0,11,60,60,,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#88BA3F,64.22492122650146,None,space,None,None,618.5286045074463,text_13,74,1,Reading_Baseline_main_click,None,sich,11,0,11,60,60,,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#F989A2,64.88177800178528,None,space,None,None,489.6974563598633,text_13,75,1,Reading_Baseline_main_click,None,als,12,0,12,60,60,65.20861625671387,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#D292F3,65.41177988052368,None,space,None,None,679.6102523803711,text_13,76,1,Reading_Baseline_main_click,None,Produzenten,12,0,12,60,60,,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
